"TC Collection","Size Group","Vector Name","Classifier","AVG Accuracy","AVG # missing URLs","Vector Path"
"tc04_hard",500,"rdf2vec-sg-oa-512-autoencoded","Random_Forrest","0,875",17,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04_hard",500,"rdf2vec-sg-oa-512-autoencoded","Multi_Layer_Perceptron","0,917091836734694",17,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",50,"rdf2vec-sg-oa-512-autoencoded","Decision_Tree","0,75","5,25","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",50,"rdf2vec-sg-oa-512-autoencoded","Naive_Bayes","0,640625","5,25","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",50,"rdf2vec-sg-oa-512-autoencoded","KNN","0,790625","5,25","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",50,"rdf2vec-sg-oa-512-autoencoded","SVM","0,871875","5,25","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",50,"rdf2vec-sg-oa-512-autoencoded","Random_Forrest","0,840625","5,25","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",50,"rdf2vec-sg-oa-512-autoencoded","Multi_Layer_Perceptron","0,85625","5,25","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",5000,"rdf2vec-sg-oa-512-autoencoded","Decision_Tree","0,820999122958924",461,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",5000,"rdf2vec-sg-oa-512-autoencoded","Naive_Bayes","0,784526676174636",461,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",5000,"rdf2vec-sg-oa-512-autoencoded","KNN","0,889123310171962",461,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",5000,"rdf2vec-sg-oa-512-autoencoded","SVM","0,913646251638427",461,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",5000,"rdf2vec-sg-oa-512-autoencoded","Random_Forrest","0,917570964583116",461,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",5000,"rdf2vec-sg-oa-512-autoencoded","Multi_Layer_Perceptron","0,93095204640871",461,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",500,"rdf2vec-sg-oa-512-autoencoded","Decision_Tree","0,817064098133932",43,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",500,"rdf2vec-sg-oa-512-autoencoded","Naive_Bayes","0,808954205556465",43,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",500,"rdf2vec-sg-oa-512-autoencoded","KNN","0,883468767859608",43,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc03",500,"rdf2vec-sg-oa-512-autoencoded","SVM","0,90861848254735",43,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
